Time,Tm,Rh,Na,Np,Li,H2s,Nh3,No2,Pm2,Pm10,Voc
2024-06-16 18:31:39,31,68,47,52,702,0,37,1,3,3,168
2024-06-16 18:36:39,31,68,51,276,632,0,34,1,3,3,108
2024-06-16 18:41:39,30,70,48,128,353,0,37,1,4,4,228
2024-06-16 18:46:38,30,71,48,116,238,0,37,1,2,3,214
2024-06-16 18:51:39,30,71,47,48,117,0,33,0,3,3,162
2024-06-16 18:56:38,30,71,47,48,80,0,30,0,3,3,87
2024-06-16 19:01:38,30,73,48,211,38,0,32,0,3,3,118
2024-06-16 19:06:38,29,74,47,67,35,0,35,1,3,3,147
2024-06-16 19:11:38,29,75,47,134,27,0,35,1,5,5,361
2024-06-16 19:16:37,29,75,47,52,12,0,34,1,4,4,149
2024-06-16 19:21:37,29,76,47,52,4,0,37,1,4,4,247
2024-06-16 19:26:37,29,75,47,49,21,0,34,1,4,4,141
2024-06-16 19:31:37,29,76,47,48,11,0,35,1,5,5,159
2024-06-16 19:36:37,29,77,47,48,13,0,34,1,4,4,145
2024-06-16 19:41:36,29,77,47,48,20,0,37,1,5,5,149
2024-06-16 19:46:36,28,77,47,50,20,0,34,1,4,4,130
2024-06-16 19:46:41,28,77,47,50,20,0,34,1,4,4,130
2024-06-16 19:51:36,28,77,47,56,21,0,35,1,4,4,128
2024-06-16 19:56:35,28,77,47,48,4,0,32,1,5,5,108
2024-06-16 20:01:35,28,77,47,49,21,0,32,1,4,4,91
2024-06-16 20:06:35,28,77,47,117,3,0,33,1,4,4,93
2024-06-16 20:11:35,28,78,47,50,12,0,32,1,4,5,104
2024-06-16 20:16:34,28,78,48,67,22,0,32,1,5,5,113
2024-06-16 20:21:34,28,79,48,61,11,0,34,1,5,5,115
2024-06-16 20:26:34,28,79,49,55,21,0,36,1,5,5,136
2024-06-16 20:31:34,28,79,50,60,4,0,34,1,5,5,103
2024-06-16 20:36:34,28,79,50,57,22,0,36,1,5,5,144
2024-06-16 20:41:33,28,79,50,55,11,0,35,1,5,5,147
2024-06-16 20:46:33,28,80,50,57,3,0,35,1,5,5,136
2024-06-16 20:51:33,28,80,51,69,3,0,36,1,5,5,128
2024-06-16 20:56:33,28,79,51,60,21,0,35,1,5,5,112
2024-06-16 21:01:33,28,79,51,76,4,0,33,0,4,4,80
2024-06-16 21:06:33,28,80,51,65,21,0,36,1,4,4,145
2024-06-16 21:11:33,28,78,51,56,20,0,35,0,5,5,66
2024-06-16 21:16:32,28,80,51,59,22,0,35,1,4,4,164
2024-06-16 21:21:32,27,79,50,58,4,0,36,1,5,5,77
2024-06-16 21:26:33,27,79,49,55,22,0,36,1,4,4,84
2024-06-16 21:31:32,27,79,49,55,10,0,35,1,5,5,103
